HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"65 Cua Bac Str Ba Dinh Dist, Hanoi 10000 Vietnam",20,88,,,Hang Nga Hotel Hanoi,40,Vietnam,"Vietnam,Hanoi,40","Which popular attractions are close to Hang Nga Hotel Hanoi?, ,What are some of the property amenities at Hang Nga Hotel Hanoi?, ,What food & drink options are available at Hang Nga Hotel Hanoi?, ,What are some restaurants close to Hang Nga Hotel Hanoi?, ,Are there opportunities to exercise at Hang Nga Hotel Hanoi?, ,Is Hang Nga Hotel Hanoi located near the city center?, ,Are there any historical sites close to Hang Nga Hotel Hanoi?, ",,0,,0,,120,,40,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d633657-Reviews-Hang_Nga_Hotel_Hanoi-Hanoi.html
,0,0,,,West Lake Peach Garden Hotel Hanoi,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d22821398-Reviews-West_Lake_Peach_Garden_Hotel_Hanoi-Hanoi.html
"Unit 307, Level 3, Block 1A, 1 Le Phung Hieu Street Hoan Kiem District, Hanoi Vietnam",32,99,,,Cloudy House,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Cloudy House?, ,Which room amenities are available at Cloudy House?, ,What are some restaurants close to Cloudy House?, ,Is Cloudy House located near the city center?, ",,0,,0,,116,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d12815407-Reviews-Cloudy_House-Hanoi.html
,0,0,,,Lexington Apartments,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23593408-Reviews-Lexington_Apartments-Hanoi.html
,0,0,,,OYO 771 Hanoi Antique Hotel,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d22821324-Reviews-OYO_771_Hanoi_Antique_Hotel-Hanoi.html
"ngo 35 pho Cat Linh, phuong Cat Linh, quan Dong Da, Ha Noi So 63, Hanoi Vietnam",5,81,,,Can ho dich vu cao cap,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Can ho dich vu cao cap?, ,What are some restaurants close to Can ho dich vu cao cap?, ",,0,,0,,34,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23335800-Reviews-Can_ho_dich_vu_cao_cap-Hanoi.html
"Ph_ Van H_ 3, Hanoi Vietnam",8,78,,,MayHouse - May Sky View 72,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to MayHouse - May Sky View 72?, ,What are some restaurants close to MayHouse - May Sky View 72?, ",,0,,0,,75,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23438455-Reviews-MayHouse_May_Sky_View_72-Hanoi.html
,0,0,,,Nha Nghi Duc Thang,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d19578939-Reviews-Nha_Nghi_Duc_Thang-Hanoi.html
"1A Trang Tien Hoan Kiem, Hanoi 10000 Vietnam",32,97,,,8692 Homestay,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to 8692 Homestay?, ,What are some restaurants close to 8692 Homestay?, ,Is 8692 Homestay located near the city center?, ",,0,,0,2.0 of 5 bubbles,120,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d15208536-Reviews-8692_Homestay-Hanoi.html
,0,0,,,Nhan 1946 House,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23523524-Reviews-Nhan_1946_House-Hanoi.html
"13 Hang Can street Hoankiem Dist, Hanoi Vietnam",194,100,,,Anh Toan Plaza Hotel,32,Vietnam,"Vietnam,Hanoi,32","Which popular attractions are close to Anh Toan Plaza Hotel?, ,What are some restaurants close to Anh Toan Plaza Hotel?, ,Does Anh Toan Plaza Hotel have airport transportation?, ,Is Anh Toan Plaza Hotel located near the city center?, ",,0,,0,,652,,32,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d1473016-Reviews-Anh_Toan_Plaza_Hotel-Hanoi.html
"17 Ngo 45 Tr_n Thai Tong, Cau Giay, Hanoi Vietnam",1,82,,,OYO 1143 Thu Giang Hotel,Cau Giay,Vietnam,"Vietnam,Hanoi,Cau Giay","Which popular attractions are close to OYO 1143 Thu Giang Hotel?, ,What are some restaurants close to OYO 1143 Thu Giang Hotel?, ",,0,,0,,21,,18,,0,https://www.tripadvisor.com/Hotel_Review-g21375824-d21503984-Reviews-OYO_1143_Thu_Giang_Hotel-Cau_Giay_Hanoi.html
"124 27, Ho Tung Mau Street, Cau Giay District, Hanoi 10000 Vietnam",7,49,,,Thien Anh Hotel - Ho Tung Mau,20,Vietnam,"Vietnam,Hanoi,20","Which popular attractions are close to Thien Anh Hotel - Ho Tung Mau?, ,What are some of the property amenities at Thien Anh Hotel - Ho Tung Mau?, ,What are some restaurants close to Thien Anh Hotel - Ho Tung Mau?, ,Are any cleaning services offered at Thien Anh Hotel - Ho Tung Mau?, ",,0,,0,,55,,20,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3221844-Reviews-Thien_Anh_Hotel_Ho_Tung_Mau-Hanoi.html
"25 Trung Yen Lane, Hanoi 100000 Vietnam",3,64,,,Backpacker Hanoi Hostel,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Backpacker Hanoi Hostel?, ,What are some restaurants close to Backpacker Hanoi Hostel?, ",,0,,0,1.0 of 5 bubbles,22,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21003435-Reviews-Backpacker_Hanoi_Hostel-Hanoi.html
"14 Ong Ich Khiem Street, Ba Dinh District, Hanoi 10000 Vietnam",11,83,,,Van Hoa Hotel,13,Vietnam,"Vietnam,Hanoi,13","Which popular attractions are close to Van Hoa Hotel?, ,What are some of the property amenities at Van Hoa Hotel?, ,What are some restaurants close to Van Hoa Hotel?, ,Are any cleaning services offered at Van Hoa Hotel?, ",,0,,0,,33,,13,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3221671-Reviews-Van_Hoa_Hotel-Hanoi.html
"P17 - 20D Tran Quy Cap Van Mieu, Hanoi Vietnam",14,95,,,Ga Home,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Ga Home?, ,What are some restaurants close to Ga Home?, ,Is Ga Home located near the city center?, ",,0,,0,,124,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d13971912-Reviews-Ga_Home-Hanoi.html
"139 Cau Giay CTM Complex, Hanoi 100000 Vietnam",4,64,,,Lily Hometel,27,Vietnam,"Vietnam,Hanoi,27","Which popular attractions are close to Lily Hometel?, ,What are some of the property amenities at Lily Hometel?, ,What food & drink options are available at Lily Hometel?, ,What are some restaurants close to Lily Hometel?, ,Are there opportunities to exercise at Lily Hometel?, ,Does Lily Hometel have airport transportation?, ",,0,,0,,10,,27,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d19270116-Reviews-Lily_Hometel-Hanoi.html
"16 Bao Khanh Street Hang Trong Ward, Hoan Kiem, Hanoi 10000 Vietnam",180,100,,,Nam Phuong Hotel,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Nam Phuong Hotel?, ,What are some of the property amenities at Nam Phuong Hotel?, ,What food & drink options are available at Nam Phuong Hotel?, ,What are some restaurants close to Nam Phuong Hotel?, ,Is Nam Phuong Hotel located near the city center?, ",,0,,0,,544,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d6719425-Reviews-Nam_Phuong_Hotel-Hanoi.html
"So 22 Ngo 467 Pham Van Dong Co Nhue Tu Liem, Hanoi 100000 Vietnam",0,0,,,Titanic 2 Hotel,30,Vietnam,"Vietnam,Hanoi,30","Which popular attractions are close to Titanic 2 Hotel?, ,What are some restaurants close to Titanic 2 Hotel?, ",,0,,0,,0,,30,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21121756-Reviews-Titanic_2_Hotel-Hanoi.html
,0,0,,,Song Thuy Hotel,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21636088-Reviews-Song_Thuy_Hotel-Hanoi.html
"6 Dinh Thon Street My Dinh 1 Ward, Nam Tu Liem District, Hanoi 100000 Vietnam",9,61,,,RedDoorz near My Dinh Bus Station,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to RedDoorz near My Dinh Bus Station?, ,What are some restaurants close to RedDoorz near My Dinh Bus Station?, ",,0,,0,,54,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23436489-Reviews-RedDoorz_near_My_Dinh_Bus_Station-Hanoi.html
,0,0,,,Homestay Thac Lien Khuong,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23333360-Reviews-Homestay_Thac_Lien_Khuong-Hanoi.html
"No. 20, Alley 116, Nhan Hoa, Nhan Chinh Thanh Xuan, Hanoi 100000 Vietnam",0,60,,,Hoang Gia Hotel,,Vietnam,"Vietnam,Hanoi","What are some restaurants close to Hoang Gia Hotel?, ",,0,,0,,21,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21121286-Reviews-Hoang_Gia_Hotel-Hanoi.html
,0,0,,,Hanoi Paradise Hotel,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23265505-Reviews-Hanoi_Paradise_Hotel-Hanoi.html
"16A Nguyen Cong Tru Street, Hai Ba Trung District, Hanoi 10000 Vietnam",7,79,,"English, Russian, Bulgarian, German",Huong Duong Hotel,32,Vietnam,"Vietnam,Hanoi,32","Which popular attractions are close to Huong Duong Hotel?, ,What are some of the property amenities at Huong Duong Hotel?, ,What food & drink options are available at Huong Duong Hotel?, ,What are some restaurants close to Huong Duong Hotel?, ,Does Huong Duong Hotel have airport transportation?, ,Which languages are spoken by the staff at Huong Duong Hotel?, ",,0,,0,,42,,32,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3221378-Reviews-Huong_Duong_Hotel-Hanoi.html
"B50 Duy Tan, Cau Giay, Hanoi Vietnam",2,64,,,Huong Thao 1,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Huong Thao 1?, ,What are some restaurants close to Huong Thao 1?, ",,0,,0,,13,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d12274211-Reviews-Huong_Thao_1-Hanoi.html
,0,0,,,Vinhomes Metropolis Hanoi - Cityhomes,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21303361-Reviews-Vinhomes_Metropolis_Hanoi_Cityhomes-Hanoi.html
,0,0,,,Arl Cat Linh Hotel,Hanoi,Cat Linh ARL55 Hotel,"Cat Linh ARL55 Hotel,Vietnam,Hanoi",,,0,,0,,0,,16,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21131506-Reviews-Arl_Cat_Linh_Hotel-Hanoi.html
,0,0,,,Nice House,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23231531-Reviews-Nice_House-Hanoi.html
,0,0,,,Khach San 1,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d19733807-Reviews-Khach_San_1-Hanoi.html
,0,0,,,Ngoc Lan Hotel,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21174014-Reviews-Ngoc_Lan_Hotel-Hanoi.html
,0,0,,,Vietnam Homestay,2,Vietnam,"Vietnam,Hanoi,2","What are some of the property amenities at Vietnam Homestay?, ,Is parking available at Vietnam Homestay?, ",,0,,0,,0,,2,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d11658173-Reviews-Vietnam_Homestay-Hanoi.html
"Cau Giay 142 Trung Hoa, Yen Hoa, Hanoi Vietnam",17,64,,,Home Hotel and Service Apartment,5,Vietnam,"Vietnam,Hanoi,5","Which popular attractions are close to Home Hotel and Service Apartment?, ,What are some restaurants close to Home Hotel and Service Apartment?, ",,0,,0,,121,,5,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d15001575-Reviews-Home_Hotel_and_Service_Apartment-Hanoi.html
"So 02 Ngo 25 Pho Tho Thap, Hanoi Vietnam",0,61,,,T&B Housing,,Vietnam,"Vietnam,Hanoi","What are some restaurants close to T&B Housing?, ",,0,,0,,18,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23334310-Reviews-T_B_Housing-Hanoi.html
"24 Hang Hanh Street, Hanoi Vietnam",217,100,,,Golden Sunrise Hotel,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Golden Sunrise Hotel?, ,What are some restaurants close to Golden Sunrise Hotel?, ,Is Golden Sunrise Hotel located near the city center?, ",,0,,0,,679,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d17816557-Reviews-Golden_Sunrise_Hotel-Hanoi.html
,0,0,,,Hanoi Home 2 Apartments Lake View,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21303916-Reviews-Hanoi_Home_2_Apartments_Lake_View-Hanoi.html
"176a Khuong Thuong, Hanoi 10000 Vietnam",4,65,,,RedDoorz near Truong Chinh Street,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to RedDoorz near Truong Chinh Street?, ,What are some restaurants close to RedDoorz near Truong Chinh Street?, ",,0,,0,,13,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21019561-Reviews-RedDoorz_near_Truong_Chinh_Street-Hanoi.html
"S_ 90, ngo 116, Nhan Hoa, Nhan Chinh, Hanoi Vietnam",0,61,,,Mia Hotel,,Vietnam,"Vietnam,Hanoi","What are some restaurants close to Mia Hotel?, ",,0,,0,,30,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21379611-Reviews-Mia_Hotel-Hanoi.html
"Thang Long Street, Village 6, Thach Hoa Commune, Thach That District, Hanoi Vietnam",5,57,,,Tan Vien Hotel,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Tan Vien Hotel?, ,Is parking available at Tan Vien Hotel?, ,What are some restaurants close to Tan Vien Hotel?, ",,0,,0,,31,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d17521878-Reviews-Tan_Vien_Hotel-Hanoi.html
"63 Ngo 35 - Cat Linh, Hanoi Vietnam",4,79,,,Hao Nam Arl Hotel,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Hao Nam Arl Hotel?, ,What are some restaurants close to Hao Nam Arl Hotel?, ",,0,,0,,32,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21171505-Reviews-Hao_Nam_Arl_Hotel-Hanoi.html
,0,0,,,Thanh Lam Linh Dam Hotel,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21122235-Reviews-Thanh_Lam_Linh_Dam_Hotel-Hanoi.html
"NO.5 Villa II,North Linh Dam ,Hoang Mai District, Hanoi 10000 Vietnam",0,0,,Vietnamese,Simco Hotel,20,Vietnam,"Vietnam,Hanoi,20","Which popular attractions are close to Simco Hotel?, ,What are some of the property amenities at Simco Hotel?, ,Which room amenities are available at Simco Hotel?, ,What food & drink options are available at Simco Hotel?, ,Is parking available at Simco Hotel?, ,What are some restaurants close to Simco Hotel?, ,Are there opportunities to exercise at Simco Hotel?, ,Does Simco Hotel have an airport shuttle?, ,Does Simco Hotel have airport transportation?, ,Are any cleaning services offered at Simco Hotel?, ",,0,,0,,0,,20,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3219993-Reviews-Simco_Hotel-Hanoi.html
"Quan Hoa - Cau Giay So 86/25/22 Ngo 3 Nguyen Van Huyen, Cau Giay, Hanoi Vietnam",3,67,,,Studio,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Studio?, ,What are some restaurants close to Studio?, ",,0,,0,,15,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d15810438-Reviews-Studio-Hanoi.html
"73 To Hien Thanh Street, Hanoi 10000 Vietnam",12,86,,,Dai Nam Hotel,45,Vietnam,"Vietnam,Hanoi,45","Which popular attractions are close to Dai Nam Hotel?, ,What are some of the property amenities at Dai Nam Hotel?, ,What food & drink options are available at Dai Nam Hotel?, ,What are some restaurants close to Dai Nam Hotel?, ,Does Dai Nam Hotel have airport transportation?, ",,0,,0,,134,,45,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3219570-Reviews-Dai_Nam_Hotel-Hanoi.html
Hanoi 11100 Vietnam,7,83,,,Alaya 10 Apartments,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Alaya 10 Apartments?, ,What are some restaurants close to Alaya 10 Apartments?, ",,0,,0,,82,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23228295-Reviews-Alaya_10_Apartments-Hanoi.html
"No. 3, Alley 87, Nguyen Khang, Yen Hoa, Hanoi Vietnam",5,61,,,RedDoorz Near Nguyen Chi Thanh Street,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to RedDoorz Near Nguyen Chi Thanh Street?, ,What are some restaurants close to RedDoorz Near Nguyen Chi Thanh Street?, ",,0,,0,,11,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d20913839-Reviews-RedDoorz_Near_Nguyen_Chi_Thanh_Street-Hanoi.html
,0,0,,,Orchids Ha Noi III Hotel,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21222378-Reviews-Orchids_Ha_Noi_III_Hotel-Hanoi.html
"32-34 Cua nam Str. Hoan kiem Dist, Hanoi 00844 Vietnam",32,98,,,Blue Pacific Hotel,306,Vietnam,"Vietnam,Hanoi,306","Which popular attractions are close to Blue Pacific Hotel?, ,What are some of the property amenities at Blue Pacific Hotel?, ,What food & drink options are available at Blue Pacific Hotel?, ,What are some restaurants close to Blue Pacific Hotel?, ,Is Blue Pacific Hotel located near the city center?, ",,0,,0,,209,,306,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d1203904-Reviews-Blue_Pacific_Hotel-Hanoi.html
