HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"139 Cau Giay CTM Complex, Hanoi 100000 Vietnam",4,64,,,,Lily Hometel,27,Vietnam,"Vietnam,Hanoi,27","Which popular attractions are close to Lily Hometel?, ,What are some of the property amenities at Lily Hometel?, ,What food & drink options are available at Lily Hometel?, ,What are some restaurants close to Lily Hometel?, ,Are there opportunities to exercise at Lily Hometel?, ,Does Lily Hometel have airport transportation?, ",,0,,0,NA,10,,27,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d19270116-Reviews-Lily_Hometel-Hanoi.html
"16 Bao Khanh Street Hang Trong Ward, Hoan Kiem, Hanoi 10000 Vietnam",180,100,,,,Nam Phuong Hotel,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Nam Phuong Hotel?, ,What are some of the property amenities at Nam Phuong Hotel?, ,What food & drink options are available at Nam Phuong Hotel?, ,What are some restaurants close to Nam Phuong Hotel?, ,Is Nam Phuong Hotel located near the city center?, ",,0,,0,NA,544,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d6719425-Reviews-Nam_Phuong_Hotel-Hanoi.html
"So 22 Ngo 467 Pham Van Dong Co Nhue Tu Liem, Hanoi 100000 Vietnam",0,0,,,,Titanic 2 Hotel,30,Vietnam,"Vietnam,Hanoi,30","Which popular attractions are close to Titanic 2 Hotel?, ,What are some restaurants close to Titanic 2 Hotel?, ",,0,,0,NA,0,,30,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21121756-Reviews-Titanic_2_Hotel-Hanoi.html
,0,0,,,,Song Thuy Hotel,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21636088-Reviews-Song_Thuy_Hotel-Hanoi.html
"6 Dinh Thon Street My Dinh 1 Ward, Nam Tu Liem District, Hanoi 100000 Vietnam",9,61,,,,RedDoorz near My Dinh Bus Station,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to RedDoorz near My Dinh Bus Station?, ,What are some restaurants close to RedDoorz near My Dinh Bus Station?, ",,0,,0,NA,54,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23436489-Reviews-RedDoorz_near_My_Dinh_Bus_Station-Hanoi.html
,0,0,,,,Homestay Thac Lien Khuong,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23333360-Reviews-Homestay_Thac_Lien_Khuong-Hanoi.html
"No. 20, Alley 116, Nhan Hoa, Nhan Chinh Thanh Xuan, Hanoi 100000 Vietnam",0,60,,,,Hoang Gia Hotel,NA,Vietnam,"Vietnam,Hanoi","What are some restaurants close to Hoang Gia Hotel?, ",,0,,0,NA,21,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21121286-Reviews-Hoang_Gia_Hotel-Hanoi.html
,0,0,,,,Hanoi Paradise Hotel,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23265505-Reviews-Hanoi_Paradise_Hotel-Hanoi.html
"16A Nguyen Cong Tru Street, Hai Ba Trung District, Hanoi 10000 Vietnam",7,79,,"English, Russian, Bulgarian, German",,Huong Duong Hotel,32,Vietnam,"Vietnam,Hanoi,32","Which popular attractions are close to Huong Duong Hotel?, ,What are some of the property amenities at Huong Duong Hotel?, ,What food & drink options are available at Huong Duong Hotel?, ,What are some restaurants close to Huong Duong Hotel?, ,Does Huong Duong Hotel have airport transportation?, ,Which languages are spoken by the staff at Huong Duong Hotel?, ",,0,,0,NA,42,,32,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3221378-Reviews-Huong_Duong_Hotel-Hanoi.html
"B50 Duy Tan, Cau Giay, Hanoi Vietnam",2,64,,,,Huong Thao 1,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Huong Thao 1?, ,What are some restaurants close to Huong Thao 1?, ",,0,,0,NA,13,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d12274211-Reviews-Huong_Thao_1-Hanoi.html
,0,0,,,,Vinhomes Metropolis Hanoi - Cityhomes,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21303361-Reviews-Vinhomes_Metropolis_Hanoi_Cityhomes-Hanoi.html
,0,0,,,,Arl Cat Linh Hotel,Hanoi,Cat Linh ARL55 Hotel,"Cat Linh ARL55 Hotel,Vietnam,Hanoi",,,0,,0,NA,0,,16,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21131506-Reviews-Arl_Cat_Linh_Hotel-Hanoi.html
,0,0,,,,Nice House,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23231531-Reviews-Nice_House-Hanoi.html
,0,0,,,,Khach San 1,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d19733807-Reviews-Khach_San_1-Hanoi.html
,0,0,,,,Ngoc Lan Hotel,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21174014-Reviews-Ngoc_Lan_Hotel-Hanoi.html
,0,0,,,,Vietnam Homestay,2,Vietnam,"Vietnam,Hanoi,2","What are some of the property amenities at Vietnam Homestay?, ,Is parking available at Vietnam Homestay?, ",,0,,0,NA,0,,2,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d11658173-Reviews-Vietnam_Homestay-Hanoi.html
"Cau Giay 142 Trung Hoa, Yen Hoa, Hanoi Vietnam",17,64,,,,Home Hotel and Service Apartment,5,Vietnam,"Vietnam,Hanoi,5","Which popular attractions are close to Home Hotel and Service Apartment?, ,What are some restaurants close to Home Hotel and Service Apartment?, ",,0,,0,NA,121,,5,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d15001575-Reviews-Home_Hotel_and_Service_Apartment-Hanoi.html
"So 02 Ngo 25 Pho Tho Thap, Hanoi Vietnam",0,61,,,,T&B Housing,NA,Vietnam,"Vietnam,Hanoi","What are some restaurants close to T&B Housing?, ",,0,,0,NA,18,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23334310-Reviews-T_B_Housing-Hanoi.html
"24 Hang Hanh Street, Hanoi Vietnam",217,100,,,,Golden Sunrise Hotel,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Golden Sunrise Hotel?, ,What are some restaurants close to Golden Sunrise Hotel?, ,Is Golden Sunrise Hotel located near the city center?, ",,0,,0,NA,679,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d17816557-Reviews-Golden_Sunrise_Hotel-Hanoi.html
,0,0,,,,Hanoi Home 2 Apartments Lake View,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21303916-Reviews-Hanoi_Home_2_Apartments_Lake_View-Hanoi.html
"176a Khuong Thuong, Hanoi 10000 Vietnam",4,65,,,,RedDoorz near Truong Chinh Street,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to RedDoorz near Truong Chinh Street?, ,What are some restaurants close to RedDoorz near Truong Chinh Street?, ",,0,,0,NA,13,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21019561-Reviews-RedDoorz_near_Truong_Chinh_Street-Hanoi.html
"S_ 90, ngo 116, Nhan Hoa, Nhan Chinh, Hanoi Vietnam",0,61,,,,Mia Hotel,NA,Vietnam,"Vietnam,Hanoi","What are some restaurants close to Mia Hotel?, ",,0,,0,NA,30,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21379611-Reviews-Mia_Hotel-Hanoi.html
"Thang Long Street, Village 6, Thach Hoa Commune, Thach That District, Hanoi Vietnam",5,57,,,,Tan Vien Hotel,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Tan Vien Hotel?, ,Is parking available at Tan Vien Hotel?, ,What are some restaurants close to Tan Vien Hotel?, ",,0,,0,NA,31,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d17521878-Reviews-Tan_Vien_Hotel-Hanoi.html
"63 Ngo 35 - Cat Linh, Hanoi Vietnam",4,79,,,,Hao Nam Arl Hotel,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Hao Nam Arl Hotel?, ,What are some restaurants close to Hao Nam Arl Hotel?, ",,0,,0,NA,32,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21171505-Reviews-Hao_Nam_Arl_Hotel-Hanoi.html
,0,0,,,,Thanh Lam Linh Dam Hotel,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21122235-Reviews-Thanh_Lam_Linh_Dam_Hotel-Hanoi.html
"NO.5 Villa II,North Linh Dam ,Hoang Mai District, Hanoi 10000 Vietnam",0,0,,Vietnamese,,Simco Hotel,20,Vietnam,"Vietnam,Hanoi,20","Which popular attractions are close to Simco Hotel?, ,What are some of the property amenities at Simco Hotel?, ,Which room amenities are available at Simco Hotel?, ,What food & drink options are available at Simco Hotel?, ,Is parking available at Simco Hotel?, ,What are some restaurants close to Simco Hotel?, ,Are there opportunities to exercise at Simco Hotel?, ,Does Simco Hotel have an airport shuttle?, ,Does Simco Hotel have airport transportation?, ,Are any cleaning services offered at Simco Hotel?, ",,0,,0,NA,0,,20,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3219993-Reviews-Simco_Hotel-Hanoi.html
"Quan Hoa - Cau Giay So 86/25/22 Ngo 3 Nguyen Van Huyen, Cau Giay, Hanoi Vietnam",3,67,,,,Studio,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Studio?, ,What are some restaurants close to Studio?, ",,0,,0,NA,15,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d15810438-Reviews-Studio-Hanoi.html
"73 To Hien Thanh Street, Hanoi 10000 Vietnam",12,86,,,,Dai Nam Hotel,45,Vietnam,"Vietnam,Hanoi,45","Which popular attractions are close to Dai Nam Hotel?, ,What are some of the property amenities at Dai Nam Hotel?, ,What food & drink options are available at Dai Nam Hotel?, ,What are some restaurants close to Dai Nam Hotel?, ,Does Dai Nam Hotel have airport transportation?, ",,0,,0,NA,134,,45,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3219570-Reviews-Dai_Nam_Hotel-Hanoi.html
Hanoi 11100 Vietnam,7,83,,,,Alaya 10 Apartments,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Alaya 10 Apartments?, ,What are some restaurants close to Alaya 10 Apartments?, ",,0,,0,NA,82,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23228295-Reviews-Alaya_10_Apartments-Hanoi.html
"No. 3, Alley 87, Nguyen Khang, Yen Hoa, Hanoi Vietnam",5,61,,,,RedDoorz Near Nguyen Chi Thanh Street,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to RedDoorz Near Nguyen Chi Thanh Street?, ,What are some restaurants close to RedDoorz Near Nguyen Chi Thanh Street?, ",,0,,0,NA,11,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d20913839-Reviews-RedDoorz_Near_Nguyen_Chi_Thanh_Street-Hanoi.html
,0,0,,,,Orchids Ha Noi III Hotel,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21222378-Reviews-Orchids_Ha_Noi_III_Hotel-Hanoi.html
"32-34 Cua nam Str. Hoan kiem Dist, Hanoi 00844 Vietnam",32,98,,,,Blue Pacific Hotel,306,Vietnam,"Vietnam,Hanoi,306","Which popular attractions are close to Blue Pacific Hotel?, ,What are some of the property amenities at Blue Pacific Hotel?, ,What food & drink options are available at Blue Pacific Hotel?, ,What are some restaurants close to Blue Pacific Hotel?, ,Is Blue Pacific Hotel located near the city center?, ",,0,,0,NA,209,,306,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d1203904-Reviews-Blue_Pacific_Hotel-Hanoi.html
"Alley 45 Nguyen Thai Hoc, Hanoi Vietnam",38,99,,,,Carpet House Hanoi,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Carpet House Hanoi?, ,What are some restaurants close to Carpet House Hanoi?, ,Is Carpet House Hanoi located near the city center?, ",,0,,0,NA,183,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d20234602-Reviews-Carpet_House_Hanoi-Hanoi.html
"Duoc Ha Soc Son, Hanoi Vietnam",10,60,,,,Coner Tran,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Coner Tran?, ,What are some restaurants close to Coner Tran?, ",,0,,0,NA,26,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d15208449-Reviews-Coner_Tran-Hanoi.html
,0,0,,,,Hoa Xa Apartment,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23367497-Reviews-Hoa_Xa_Apartment-Hanoi.html
,0,0,,,,Hanoi Havana Dorm,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23382398-Reviews-Hanoi_Havana_Dorm-Hanoi.html
,0,0,,,,GRiD Hotel,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21222184-Reviews-GRiD_Hotel-Hanoi.html
"Ph_ Van H_ 3 No Apt 15a, Alley 76 Van H_ 3 Street, Hanoi Vietnam",6,71,,,,"MayHouse - May Garden 2, Tang 1",NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to MayHouse - May Garden 2, Tang 1?, ,What are some restaurants close to MayHouse - May Garden 2, Tang 1?, ",,0,,0,NA,38,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23419121-Reviews-MayHouse_May_Garden_2_Tang_1-Hanoi.html
"46 Ngo Huyen, Hanoi 100000 Vietnam",157,100,,,,Vitamin Home - Feel Like Home,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Vitamin Home - Feel Like Home?, ,What are some restaurants close to Vitamin Home - Feel Like Home?, ,Is Vitamin Home - Feel Like Home located near the city center?, ",,0,,0,NA,432,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21329035-Reviews-Vitamin_Home_Feel_Like_Home-Hanoi.html
"138 Nguyen Xien Street Ha Dinh, Thanh Xuan District, Hanoi 70000 Vietnam",0,0,,,,RedDoorz near Dai Hoc Ha Noi,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to RedDoorz near Dai Hoc Ha Noi?, ,What are some restaurants close to RedDoorz near Dai Hoc Ha Noi?, ",,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23335139-Reviews-RedDoorz_near_Dai_Hoc_Ha_Noi-Hanoi.html
"75c/50 Dang Thai Mai Street, Tay Ho District, Hanoi 10000 Vietnam",25,90,,,,LeDecor Apartment,8,Vietnam,"Vietnam,Hanoi,8","Which popular attractions are close to LeDecor Apartment?, ,What are some restaurants close to LeDecor Apartment?, ",,0,,0,NA,111,,8,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3223049-Reviews-LeDecor_Apartment-Hanoi.html
"27 Tan Ap, Hanoi Vietnam",10,80,,,,Bach Duong Hotel,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Bach Duong Hotel?, ,What are some restaurants close to Bach Duong Hotel?, ,Is Bach Duong Hotel located near the city center?, ",,0,,0,NA,59,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d17574108-Reviews-Bach_Duong_Hotel-Hanoi.html
"47 Trich Sai,Th_y Khue,Tay H_, Hanoi 0123456 Vietnam",9,54,10,"English, Vietnamese",,Nha Minh Homestay,8,Vietnam,"Vietnam,Hanoi,8","Which popular attractions are close to Nhà Mình Homestay?, ,What are some of the property amenities at Nhà Mình Homestay?, ,Which room amenities are available at Nhà Mình Homestay?, ,Is parking available at Nhà Mình Homestay?, ,What are some restaurants close to Nhà Mình Homestay?, ,Are any cleaning services offered at Nhà Mình Homestay?, ,Which languages are spoken by the staff at Nhà Mình Homestay?, ,Are there any historical sites close to Nhà Mình Homestay?, ",5,0,,0,NA,51,,8,,,2,https://www.tripadvisor.com/Hotel_Review-g293924-d23129401-Reviews-Nha_Minh_Homestay-Hanoi.html
"No. 27 Hang Thiec, Hoan Kiem District,, Hanoi 10000 Vietnam",158,100,,,,Avi Hanoi Hotel,16,Vietnam,"Vietnam,Hanoi,16","Which popular attractions are close to Avi Hanoi Hotel?, ,What are some of the property amenities at Avi Hanoi Hotel?, ,What food & drink options are available at Avi Hanoi Hotel?, ,What are some restaurants close to Avi Hanoi Hotel?, ,Does Avi Hanoi Hotel have an airport shuttle?, ,Does Avi Hanoi Hotel have airport transportation?, ,Is Avi Hanoi Hotel located near the city center?, ",,0,,0,NA,554,,16,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d8298344-Reviews-Avi_Hanoi_Hotel-Hanoi.html
"128 Khuong Dinh Thanh Xuan, Hanoi 10000 Vietnam",10,64,,"English, Vietnamese",,Gia Phu Hotel,15,Vietnam,"Vietnam,Hanoi,15","Which popular attractions are close to Gia Phu Hotel?, ,What are some restaurants close to Gia Phu Hotel?, ,Which languages are spoken by the staff at Gia Phu Hotel?, ",,0,,0,NA,62,,15,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d7218286-Reviews-Gia_Phu_Hotel-Hanoi.html
"37 Hang Thiec, Hanoi Vietnam",154,100,,,,The Bee Homestay,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to The Bee Homestay?, ,What are some restaurants close to The Bee Homestay?, ,Is The Bee Homestay located near the city center?, ",,0,,0,NA,531,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23423489-Reviews-The_Bee_Homestay-Hanoi.html
,0,0,,,,LeDecor Apartment - Kim Dong,9,Vietnam,"Vietnam,Hanoi,9",,,0,,0,NA,0,,9,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3222925-Reviews-LeDecor_Apartment_Kim_Dong-Hanoi.html
,0,0,,,,Ng Thnh Hotel Sn Ty,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d22147797-Reviews-Ng_Thnh_Hotel_Sn_Ty-Hanoi.html
"55 Hang Cot, Hanoi Vietnam",39,98,,"English, Vietnamese",,Rustic House,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Rustic House?, ,What are some of the property amenities at Rustic House?, ,Which room amenities are available at Rustic House?, ,Is parking available at Rustic House?, ,What are some restaurants close to Rustic House?, ,Does Rustic House have airport transportation?, ,Is Rustic House located near the city center?, ,Which languages are spoken by the staff at Rustic House?, ",,0,,0,NA,241,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d12996039-Reviews-Rustic_House-Hanoi.html
